FIPS,County,State-County-Tract FIPS Code,RUCA,Secondary RUCA,Tract.pop,Area miles,Pop.density
27001,Aitkin County,27001770100,10,10.0,"2,327",458.9,5.1
27001,Aitkin County,27001770200,10,10.3,"2,336",461.8,5.1
27001,Aitkin County,27001770300,10,10.0,"3,268",33.4,97.8
27001,Aitkin County,27001770400,10,10.1,"3,052",460.1,6.6
27001,Aitkin County,27001790501,10,10.0,"1,957",294.3,6.7
27001,Aitkin County,27001790502,10,10.1,"3,262",113.2,28.8
27003,Anoka County,27003050107,2,2.0,"2,934",13.7,214.9
27003,Anoka County,27003050108,2,2.0,"4,750",10.5,452.5
27003,Anoka County,27003050109,2,2.0,"5,202",25.4,204.8
27003,Anoka County,27003050110,2,2.0,"2,715",9.5,284.4
27003,Anoka County,27003050111,2,2.0,"3,709",9.9,376.4
27003,Anoka County,27003050114,2,2.0,"2,803",10.9,256.7
27003,Anoka County,27003050115,2,2.0,"5,228",22.9,228.0
27003,Anoka County,27003050116,2,2.0,"4,443",33.6,132.4
27003,Anoka County,27003050208,1,1.0,"3,281",2.2,"1,497.3"
27003,Anoka County,27003050210,2,2.0,"3,914",44.9,87.1
27003,Anoka County,27003050215,1,1.0,"4,192",7.0,600.2
27003,Anoka County,27003050216,1,1.0,"5,474",14.4,380.2
27003,Anoka County,27003050217,1,1.0,"2,724",9.7,282.0
27003,Anoka County,27003050218,1,1.0,"3,220",6.6,484.7
27003,Anoka County,27003050219,1,1.0,"3,061",3.0,"1,005.7"
27003,Anoka County,27003050220,1,1.0,"6,534",5.4,"1,212.6"
27003,Anoka County,27003050221,1,1.0,"6,365",5.0,"1,272.7"
27003,Anoka County,27003050222,1,1.0,"5,393",1.9,"2,856.0"
27003,Anoka County,27003050223,1,1.0,"2,673",5.5,488.5
27003,Anoka County,27003050224,1,1.0,"2,788",6.8,407.1
27003,Anoka County,27003050225,1,1.0,"6,091",7.0,864.8
27003,Anoka County,27003050226,1,1.0,"2,919",1.3,"2,163.3"
27003,Anoka County,27003050227,1,1.0,"4,304",1.8,"2,384.0"
27003,Anoka County,27003050228,1,1.0,"4,893",6.3,777.3
27003,Anoka County,27003050229,1,1.0,"5,425",4.1,"1,338.0"
27003,Anoka County,27003050230,1,1.0,"2,398",8.6,278.4
27003,Anoka County,27003050232,1,1.0,"3,792",2.1,"1,783.2"
27003,Anoka County,27003050233,1,1.0,"3,053",5.1,602.6
27003,Anoka County,27003050234,1,1.0,"2,861",6.5,437.3
27003,Anoka County,27003050235,1,1.0,"2,769",6.5,428.0
27003,Anoka County,27003050236,1,1.0,"4,296",4.5,962.9
27003,Anoka County,27003050237,1,1.0,"5,044",6.0,837.5
27003,Anoka County,27003050401,1,1.0,"2,972",1.8,"1,622.5"
27003,Anoka County,27003050402,1,1.0,"3,742",1.0,"3,711.4"
27003,Anoka County,27003050501,1,1.0,"3,041",0.8,"3,801.3"
27003,Anoka County,27003050504,1,1.0,"2,496",0.8,"3,247.4"
27003,Anoka County,27003050505,1,1.0,"4,911",2.3,"2,092.5"
27003,Anoka County,27003050602,1,1.0,"2,431",0.7,"3,241.6"
27003,Anoka County,27003050605,1,1.0,"5,542",2.0,"2,820.4"
27003,Anoka County,27003050606,1,1.0,"2,095",0.9,"2,339.3"
27003,Anoka County,27003050607,1,1.0,"4,491",1.3,"3,543.4"
27003,Anoka County,27003050608,1,1.0,"4,431",1.3,"3,503.9"
27003,Anoka County,27003050609,1,1.0,"3,602",2.0,"1,768.7"
27003,Anoka County,27003050610,1,1.0,"6,403",1.5,"4,307.8"
27003,Anoka County,27003050702,1,1.0,"3,125",0.9,"3,455.0"
27003,Anoka County,27003050704,1,1.0,"4,736",1.6,"2,909.0"
27003,Anoka County,27003050706,1,1.0,"3,432",0.8,"4,104.4"
27003,Anoka County,27003050707,1,1.0,"6,229",2.0,"3,132.6"
27003,Anoka County,27003050709,1,1.0,"2,478",1.2,"2,046.4"
27003,Anoka County,27003050710,1,1.0,"3,489",2.1,"1,642.1"
