ZIP Code,City,County,Region,Type
ZIP Code 55748,Hill City,Aitkin,Northland,Standard
ZIP Code 55760,Mcgregor,Aitkin,Northland,Standard
ZIP Code 55787,Tamarack,Aitkin,Northland,Standard
ZIP Code 56350,Mc Grath,Aitkin,Northland,Standard
ZIP Code 56431,Aitkin,Aitkin,Northland,Standard
ZIP Code 56469,Palisade,Aitkin,Northland,Standard
ZIP Code 55005,Bethel,Anoka,Metro,Standard
ZIP Code 55011,Cedar,Anoka,Metro,Standard
ZIP Code 55014,Circle Pines,Anoka,Metro,Standard
ZIP Code 55070,Saint Francis,Anoka,Metro,Standard
ZIP Code 55303,Anoka,Anoka,Metro,Standard
ZIP Code 55304,Andover,Anoka,Metro,Standard
ZIP Code 55421,Minneapolis,Anoka,Metro,Standard
ZIP Code 55432,Minneapolis,Anoka,Metro,Standard
ZIP Code 55433,Minneapolis,Anoka,Metro,Standard
ZIP Code 55434,Minneapolis,Anoka,Metro,Standard
ZIP Code 55448,Minneapolis,Anoka,Metro,Standard
ZIP Code 55449,Minneapolis,Anoka,Metro,Standard
ZIP Code 56501,Detroit Lakes,Becker,West Central,Standard
ZIP Code 56502,Detroit Lakes,Becker,West Central,P.O. Box
ZIP Code 56511,Audubon,Becker,West Central,Standard
ZIP Code 56521,Callaway,Becker,West Central,Standard
ZIP Code 56544,Frazee,Becker,West Central,Standard
ZIP Code 56554,Lake Park,Becker,West Central,Standard
ZIP Code 56569,Ogema,Becker,West Central,Standard
ZIP Code 56570,Osage,Becker,West Central,Standard
ZIP Code 56575,Ponsford,Becker,West Central,Standard
ZIP Code 56577,Richwood,Becker,West Central,P.O. Box
ZIP Code 56578,Rochert,Becker,West Central,Standard
ZIP Code 56589,Waubun,Becker,West Central,Standard
ZIP Code 56591,White Earth,Becker,West Central,P.O. Box
ZIP Code 56593,Wolf Lake,Becker,West Central,P.O. Box
ZIP Code 56601,Bemidji,Beltrami,Northwest,Standard
ZIP Code 56619,Bemidji,Beltrami,Northwest,P.O. Box
ZIP Code 56630,Blackduck,Beltrami,Northwest,Standard
ZIP Code 56647,Hines,Beltrami,Northwest,Standard
ZIP Code 56650,Kelliher,Beltrami,Northwest,Standard
ZIP Code 56663,Pennington,Beltrami,Northwest,Standard
ZIP Code 56666,Ponemah,Beltrami,Northwest,P.O. Box
ZIP Code 56667,Puposky,Beltrami,Northwest,Standard
ZIP Code 56670,Redby,Beltrami,Northwest,P.O. Box
ZIP Code 56671,Redlake,Beltrami,Northwest,P.O. Box
ZIP Code 56678,Solway,Beltrami,Northwest,Standard
ZIP Code 56683,Tenstrike,Beltrami,Northwest,Standard
ZIP Code 56685,Waskish,Beltrami,Northwest,Standard
ZIP Code 56687,Wilton,Beltrami,Northwest,P.O. Box
ZIP Code 56329,Foley,Benton,Central,Standard
ZIP Code 56333,Gilman,Benton,Central,P.O. Box
ZIP Code 56357,Oak Park,Benton,Central,Standard
ZIP Code 56367,Rice,Benton,Central,Standard
ZIP Code 56379,Sauk Rapids,Benton,Central,Standard
ZIP Code 56210,Barry,Big Stone,Southwest,P.O. Box
ZIP Code 56211,Beardsley,Big Stone,Southwest,Standard
ZIP Code 56225,Clinton,Big Stone,Southwest,Standard
ZIP Code 56227,Correll,Big Stone,Southwest,Standard
ZIP Code 56240,Graceville,Big Stone,Southwest,Standard
ZIP Code 56276,Odessa,Big Stone,Southwest,Standard
ZIP Code 56278,Ortonville,Big Stone,Southwest,Standard
ZIP Code 56001,Mankato,Blue Earth,Southern,Standard
ZIP Code 56002,Mankato,Blue Earth,Southern,P.O. Box
ZIP Code 56010,Amboy,Blue Earth,Southern,Standard
ZIP Code 56024,Eagle Lake,Blue Earth,Southern,Standard
ZIP Code 56034,Garden City,Blue Earth,Southern,Standard
ZIP Code 56037,Good Thunder,Blue Earth,Southern,Standard
ZIP Code 56055,Lake Crystal,Blue Earth,Southern,Standard
ZIP Code 56063,Madison Lake,Blue Earth,Southern,Standard
ZIP Code 56065,Mapleton,Blue Earth,Southern,Standard
ZIP Code 56078,Pemberton,Blue Earth,Southern,Standard
ZIP Code 56080,Saint Clair,Blue Earth,Southern,P.O. Box
ZIP Code 56090,Vernon Center,Blue Earth,Southern,Standard
ZIP Code 56019,Comfrey,Brown,Southern,Standard
ZIP Code 56030,Essig,Brown,Southern,P.O. Box
ZIP Code 56041,Hanska,Brown,Southern,Standard
ZIP Code 56073,New Ulm,Brown,Southern,Standard
ZIP Code 56084,Searles,Brown,Southern,P.O. Box
ZIP Code 56085,Sleepy Eye,Brown,Southern,Standard
ZIP Code 56087,Springfield,Brown,Southern,Standard
ZIP Code 55707,Barnum,Carlton,Northland,Standard
ZIP Code 55718,Carlton,Carlton,Northland,Standard
ZIP Code 55720,Cloquet,Carlton,Northland,Standard
ZIP Code 55726,Cromwell,Carlton,Northland,Standard
ZIP Code 55733,Esko,Carlton,Northland,Standard
ZIP Code 55749,Holyoke,Carlton,Northland,Standard
ZIP Code 55757,Kettle River,Carlton,Northland,Standard
ZIP Code 55767,Moose Lake,Carlton,Northland,Standard
ZIP Code 55780,Sawyer,Carlton,Northland,Standard
ZIP Code 55797,Wrenshall,Carlton,Northland,Standard
ZIP Code 55798,Wright,Carlton,Northland,Standard
ZIP Code 55315,Carver,Carver,Metro,Standard
ZIP Code 55317,Chanhassen,Carver,Metro,Standard
ZIP Code 55318,Chaska,Carver,Metro,Standard
ZIP Code 55322,Cologne,Carver,Metro,Standard
ZIP Code 55339,Hamburg,Carver,Metro,Standard
ZIP Code 55360,Mayer,Carver,Metro,Standard
ZIP Code 55367,New Germany,Carver,Metro,Standard
ZIP Code 55368,Norwood Young America,Carver,Metro,Standard
ZIP Code 55386,Victoria,Carver,Metro,Standard
ZIP Code 55387,Waconia,Carver,Metro,Standard
ZIP Code 55388,Watertown,Carver,Metro,Standard
ZIP Code 55397,Young America,Carver,Metro,Standard
ZIP Code 55554,Norwood,Carver,Metro,P.O. Box
ZIP Code 55785,Swatara,Cass,Central,Standard
ZIP Code 56435,Backus,Cass,Central,Standard
ZIP Code 56452,Hackensack,Cass,Central,Standard
ZIP Code 56473,Pillager,Cass,Central,Standard
ZIP Code 56474,Pine River,Cass,Central,Standard
ZIP Code 56484,Walker,Cass,Central,Standard
ZIP Code 56626,Bena,Cass,Central,Standard
ZIP Code 56633,Cass Lake,Cass,Central,Standard
ZIP Code 56641,Federal Dam,Cass,Central,Standard
ZIP Code 56655,Longville,Cass,Central,Standard
ZIP Code 56662,Outing,Cass,Central,Standard
ZIP Code 56672,Remer,Cass,Central,Standard
ZIP Code 56222,Clara City,Chippewa,Southwest,Standard
ZIP Code 56260,Maynard,Chippewa,Southwest,Standard
ZIP Code 56262,Milan,Chippewa,Southwest,Standard
ZIP Code 56265,Montevideo,Chippewa,Southwest,Standard
ZIP Code 56295,Watson,Chippewa,Southwest,Standard
ZIP Code 55012,Center City,Chisago,Central,Standard
ZIP Code 55013,Chisago City,Chisago,Central,Standard
ZIP Code 55032,Harris,Chisago,Central,Standard
ZIP Code 55045,Lindstrom,Chisago,Central,Standard
ZIP Code 55056,North Branch,Chisago,Central,Standard
ZIP Code 55069,Rush City,Chisago,Central,Standard
ZIP Code 55074,Shafer,Chisago,Central,Standard
ZIP Code 55078,Stacy,Chisago,Central,P.O. Box
ZIP Code 55079,Stacy,Chisago,Central,Standard
ZIP Code 55084,Taylors Falls,Chisago,Central,Standard
ZIP Code 55092,Wyoming,Chisago,Central,Standard
ZIP Code 56514,Barnesville,Clay,West Central,Standard
ZIP Code 56525,Comstock,Clay,West Central,P.O. Box
ZIP Code 56529,Dilworth,Clay,West Central,Standard
ZIP Code 56536,Felton,Clay,West Central,Standard
ZIP Code 56546,Georgetown,Clay,West Central,Standard
ZIP Code 56547,Glyndon,Clay,West Central,Standard
ZIP Code 56549,Hawley,Clay,West Central,Standard
ZIP Code 56552,Hitterdal,Clay,West Central,Standard
ZIP Code 56560,Moorhead,Clay,West Central,Standard
ZIP Code 56561,Moorhead,Clay,West Central,P.O. Box
ZIP Code 56562,Moorhead,Clay,West Central,Standard
ZIP Code 56563,Moorhead,Clay,West Central,Standard
ZIP Code 56580,Sabin,Clay,West Central,Standard
ZIP Code 56585,Ulen,Clay,West Central,Standard
ZIP Code 56621,Bagley,Clearwater,Northwest,Standard
ZIP Code 56634,Clearbrook,Clearwater,Northwest,Standard
ZIP Code 56644,Gonvick,Clearwater,Northwest,Standard
ZIP Code 56652,Leonard,Clearwater,Northwest,Standard
ZIP Code 56676,Shevlin,Clearwater,Northwest,Standard
ZIP Code 55604,Grand Marais,Cook,Northland,Standard
ZIP Code 55605,Grand Portage,Cook,Northland,Standard
ZIP Code 55606,Hovland,Cook,Northland,Standard
ZIP Code 55612,Lutsen,Cook,Northland,Standard
ZIP Code 55613,Schroeder,Cook,Northland,Standard
ZIP Code 55615,Tofte,Cook,Northland,Standard
ZIP Code 56101,Windom,Cottonwood,Southwest,Standard
ZIP Code 56118,Bingham Lake,Cottonwood,Southwest,Standard
ZIP Code 56145,Jeffers,Cottonwood,Southwest,Standard
ZIP Code 56159,Mountain Lake,Cottonwood,Southwest,Standard
ZIP Code 56174,Storden,Cottonwood,Southwest,Standard
ZIP Code 56183,Westbrook,Cottonwood,Southwest,Standard
ZIP Code 56401,Brainerd,Crow Wing,Central,Standard
ZIP Code 56425,Baxter,Crow Wing,Central,Standard
