FIPS Code,State,County Name,1974 Rural-urban Continuum Code,1983 Rural-urban Continuum Code,1993 Rural-urban Continuum Code,2003 Rural-urban Continuum Code,RUCC_2013,2013.Description
27001,MN,Aitkin County,9,9,9,8,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
27003,MN,Anoka County,1,1,0,1,1,Metro - Counties in metro areas of 1 million population or more
27005,MN,Becker County,6,6,6,6,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
27007,MN,Beltrami County,7,7,7,7,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
27009,MN,Benton County,3,3,3,3,3,"Metro - Counties in metro areas of fewer than 250,000 population"
27011,MN,Big Stone County,7,7,9,9,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
27013,MN,Blue Earth County,5,5,5,5,3,"Metro - Counties in metro areas of fewer than 250,000 population"
27015,MN,Brown County,7,7,7,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
27017,MN,Carlton County,6,6,6,2,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
27019,MN,Carver County,1,1,1,1,1,Metro - Counties in metro areas of 1 million population or more
27021,MN,Cass County,9,9,9,9,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
27023,MN,Chippewa County,7,7,7,7,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
27025,MN,Chisago County,1,1,1,1,1,Metro - Counties in metro areas of 1 million population or more
27027,MN,Clay County,3,3,3,3,3,"Metro - Counties in metro areas of fewer than 250,000 population"
27029,MN,Clearwater County,9,9,9,8,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
27031,MN,Cook County,9,9,9,9,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
27033,MN,Cottonwood County,7,7,7,7,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
27035,MN,Crow Wing County,7,7,7,5,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
27037,MN,Dakota County,1,1,0,1,1,Metro - Counties in metro areas of 1 million population or more
27039,MN,Dodge County,8,6,6,3,3,"Metro - Counties in metro areas of fewer than 250,000 population"
27041,MN,Douglas County,7,7,7,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
27043,MN,Faribault County,7,7,7,7,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
27045,MN,Fillmore County,6,6,8,8,3,"Metro - Counties in metro areas of fewer than 250,000 population"
27047,MN,Freeborn County,7,7,7,7,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
27049,MN,Goodhue County,6,6,6,4,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
