Record ID,region,PopulationServed (Q5),PublicorPrivate (Q6),PublicOwned (Q8),PublicOwned (Q8SPECIFIED_4),Private (Q9),Private (Q9SPECIFIED_5),CorporatehealthsystemSupport (Q10),ServicesProvided (Q11_1),ServicesProvided (Q11_2),ServicesProvided (Q11_3),ServicesProvided (Q11_4),Compensation (Q89),VolunteerStaffCompensation (Q14_1),VolunteerStaffCompensation (Q14_2),VolunteerStaffCompensation (Q14_3),VolunteerStaffCompensation (Q14_4),VolunteerStaffCompensation (Q14_5),VolunteerStaffCompensation (Q14SPECIFIED_4),UsingEMRs (Q15),CompensationEMSstaff (Q16),WorkforceSustainability (Q76),ActiveStaff (Q18),RecruitmentPlan (Q19),RecruitmentofNewStaff (Q20),CrossTraining (Q21),Obstacles (Q22_1),Obstacles (Q22_2),Obstacles (Q22_3),Obstacles (Q22_4),Obstacles (Q22_5),Obstacles (Q22_6),Obstacles (Q22_7),Obstacles (Q22_8),Obstacles (Q22_9),Obstacles (Q22_10),Obstacles (Q22_11),Obstacles (Q22_12),Obstacles (Q22SPECIFIED_12),RetentionStrategy (Q23),ExistingStaff (Q24),Obstacles (Q25_1),Obstacles (Q25_2),Obstacles (Q25_3),Obstacles (Q25_4),Obstacles (Q25_5),Obstacles (Q25_6),Obstacles (Q25_7),Obstacles (Q25_8),Obstacles (Q25_9),Obstacles (Q25_10),Obstacles (Q25_11),Obstacles (Q25_12),Obstacles (Q25_13),Obstacles (Q25_14),Obstacles (Q25SPECIFIED_14),Leadership (Q26),Managers (Q27),DifficultyManaging (Q28_1),DifficultyManaging (Q28_2),DifficultyManaging (Q28_3),DifficultyManaging (Q28_4),DifficultyManaging (Q28_5),DifficultyManaging (Q28_6),DifficultyManaging (Q28_7),DifficultyManaging (Q28_8),DifficultyManaging (Q28_9),DifficultyManaging (Q28_10),DifficultyManaging (Q28_11),DifficultyManaging (Q28_12),DifficultyManaging (Q28_13),DifficultyManaging (Q28_14),DifficultyManaging (Q28_15),PercentageofShifts (Q30),Shifts (Q31_A_1),Shifts (Q31_A_2),Shifts (Q31_A_3),Shifts (Q31_A_4),Shifts (Q31_A_5),Shifts (Q31_A_6),Shifts (Q31_A_7),Shifts (Q31_A_8),Shifts (Q31_A_9),Shifts (Q31_A_10),Shifts (Q31_A_11),Shifts (Q31_A_12)
635996305133854562,Central,"2,500 – 4,999",Private or other non-profit owned or operated,NA,NA,For-profit / private company,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,Staff are paid a flat rate per run,-,-,NA,No,Same,Yes,Decreased,Yes,Yes,Yes,-,Lack of availability,-,-,-,-,-,-,-,-,-,Other (please specify):,Not enough staff available during daytime hours due to people working farther away from home.  Businesses not allowing employees to leave for 911 calls,No,Sometimes,Age: Older crew members retiring,-,-,-,-,-,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,Yes,No,Recruitment,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25-49%,-,Weekends,Holidays,-,Weekends,Holidays,-,Weekends,Holidays,Weekdays,Weekends,Holidays
635997243161079944,Central,"Less than 2,500","Public owned or operated (e.g. city, county authority or joint powers board)",Stand-alone city or county based ambulance service,NA,NA,NA,No,Basic life support,-,-,-,Combination of volunteer and paid staff,Staff are paid a stipend while on-call,-,Staff are paid a flat rate per run,-,-,NA,Yes,Unknown,No,Decreased,Yes,Somewhat,No,Lack of interest,Lack of availability,-,-,-,-,-,-,-,Time commitment is too great,-,-,NA,No,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,Certification is too difficult to maintain,-,-,-,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,Yes,No,Recruitment,Retention,Budget development,-,Staffing the schedule,-,-,-,-,-,-,-,-,-,-,50-74%,Weekdays,Weekends,-,Weekdays,Weekends,-,-,Weekends,-,-,-,-
636003187219918978,Central,"2,500 – 4,999","Public owned or operated (e.g. city, county authority or joint powers board)",Fire department based,NA,NA,NA,No,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,-,-,Staff are paid a flat rate per run,-,-,NA,Yes,Same,Yes,Size of the active staff has not changed,No,Somewhat,Yes,Lack of interest,Lack of availability,-,-,-,-,-,-,-,Time commitment is too great,-,-,NA,No,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,-,-,-,-,-,-,-,-,-,Other (please specify),"Feel uncomfortable in the ambulance, so they avoid taking ambualnce calls",No,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None of the above,100%,Weekdays,Weekends,-,Weekdays,Weekends,-,Weekdays,Weekends,-,Weekdays,-,-
635997958072469854,Central,"10,000 – 14,999",Private or other non-profit owned or operated,NA,NA,Hospital,NA,No,-,Advanced life support,-,-,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Same,No,Size of the active staff has not changed,Yes,Somewhat,Yes,-,-,Lack of trained candidates,Training programs are too time consuming,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,Limited advancement opportunities,-,-,-,-,-,Dissatisfaction with EMS administrator/owner,-,Dissatisfaction with job duties,-,NA,Yes,Yes,Recruitment,Retention,Budget development,Managing staff,Staffing the schedule,-,Continuing education requirements for staff,Maintaining equipment,-,-,-,-,Policy development and enforcement,-,-,100%,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays,-,-,-
636003844123351630,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Non-profit,NA,Yes,Basic life support,Advanced life support,-,-,Paid; hourly wage or salary,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Better,Yes,Increased,Yes,No,No,-,-,Lack of trained candidates,-,-,-,-,-,-,-,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,-,-,-,Limited advancement opportunities,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None of the above,100%,-,-,-,-,-,-,-,-,-,-,-,-
636004656329645165,Central,"15,000 or greater",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,Basic life support,Advanced life support,Part-time advanced life support,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Worse,No,Decreased,Yes,Somewhat,No,Lack of interest,Lack of availability,Lack of trained candidates,-,-,-,Inadequate pay or benefits,-,-,Time commitment is too great,-,-,NA,Yes,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,-,-,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,Retention,-,-,-,-,-,-,-,-,-,-,-,-,-,50-74%,-,-,-,-,-,-,-,-,-,Weekdays,Weekends,-
635996193257883296,Central,NA,Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,-,-,Part-time advanced life support,-,Combination of volunteer and paid staff,-,-,-,Other payment schedule (describe):,-,"on call pay $3 hourly, when they get a run go to an hourly rate, call pay taken off during the run.",No,Worse,No,Decreased,Yes,Yes,No,-,Lack of availability,-,Training programs are too time consuming,Training programs are too expensive,-,Inadequate pay or benefits,-,-,Time commitment is too great,-,-,NA,No,Sometimes,Age: Older crew members retiring,Excessive time commitment or scheduling conflicts,Certification is too difficult to maintain,Inadequate pay or benefits,-,-,-,Employer does not allow staff to leave work for a call,Too many runs or transports,-,-,-,-,Other (please specify),"Too many runs to keep full time volunteers, need to go to a paid service.",Yes,No,Recruitment,Retention,Budget development,-,Staffing the schedule,-,Continuing education requirements for staff,-,-,-,Certification requirements for the staff,-,-,Maintaining updated technology,-,100%,-,Weekends,-,-,Weekends,-,Weekdays,Weekends,-,Weekdays,Weekends,-
635997102850954594,Central,"15,000 or greater","Public owned or operated (e.g. city, county authority or joint powers board)",Public hospital based,NA,NA,NA,No,Basic life support,Advanced life support,-,Specialized life support,Paid; hourly wage or salary,-,-,-,-,-,NA,No,Same,No,Size of the active staff has not changed,Yes,Yes,Yes,-,Lack of availability,Lack of trained candidates,-,Training programs are too expensive,Training programs are too far away,-,Too few runs or transports,-,-,Childcare responsibilities,-,NA,Yes,Always,-,Excessive time commitment or scheduling conflicts,Certification is too difficult to maintain,-,Limited advancement opportunities,-,Community is too isolated,-,-,Too few runs or transports,Dissatisfaction with EMS administrator/owner,-,-,-,NA,Yes,Yes,Recruitment,Retention,-,Managing staff,Staffing the schedule,-,Continuing education requirements for staff,-,-,-,-,Maintaining updated technology,Policy development and enforcement,-,-,75-99%,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays,Weekdays,Weekends,Holidays,-,-,-
635998701948535585,Central,"10,000 – 14,999",Private or other non-profit owned or operated,NA,NA,Hospital,NA,Yes,Basic life support,-,-,-,Volunteer/Paid; on-call compensation (on-call compensation); meets statutory definition of volunteer https://www.revisor.mn.gov/statutes/?id=144E.001#stat.144E.001.15,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Better,Yes,Decreased,No,Yes,Yes,-,-,-,-,-,-,-,-,-,-,-,Other (please specify):,Finding local businesses that would allow EMS to be on call and leave work to respond to an emergency.,No,Sometimes,-,Excessive time commitment or scheduling conflicts,-,-,-,-,-,Employer does not allow staff to leave work for a call,-,-,-,-,-,-,NA,No,Yes,Recruitment,Retention,-,-,-,-,-,-,Billing and reimbursement,Licensing requirements for the ambulance,Certification requirements for the staff,-,Policy development and enforcement,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-
635992888952847658,Central,"5,000 – 9,999",Private or other non-profit owned or operated,NA,NA,Hospital,NA,No,-,-,Part-time advanced life support,-,Combination of volunteer and paid staff,Staff are paid a stipend while on-call,Staff are paid by the hour on a run,-,-,-,NA,No,Same,Yes,Decreased,No,Somewhat,Yes,-,Lack of availability,-,Training programs are too time consuming,Training programs are too expensive,-,-,-,-,Time commitment is too great,-,-,NA,No,Sometimes,-,Excessive time commitment or scheduling conflicts,-,Inadequate pay or benefits,-,-,-,-,-,-,-,-,-,-,NA,Yes,No,-,-,-,Managing staff,-,-,Continuing education requirements for staff,-,-,-,Certification requirements for the staff,-,Policy development and enforcement,-,-,75-99%,-,Weekends,-,-,Weekends,-,-,Weekends,-,-,Weekends,Holidays
