Dem_RUCA,Dem_Desc,EDR,County,2015 Pop
A,Entirely rural,EDR 03,aitkin,15702
D,Entirely urban,EDR 11,anoka,344151
C,Urban/town/rural mix,EDR 04,becker,33386
B,Town/rural mix,EDR 02,beltrami,45672
C,Urban/town/rural mix,EDR 07W,benton,39710
A,Entirely rural,EDR 06W,big stone,5040
D,Entirely urban,EDR 09,blue earth,65787
B,Town/rural mix,EDR 09,brown,25313
C,Urban/town/rural mix,EDR 03,carlton,35569
D,Entirely urban,EDR 11,carver,98704
B,Town/rural mix,EDR 05,cass,28706
B,Town/rural mix,EDR 06W,chippewa,12109
D,Entirely urban,EDR 07E,chisago,54293
D,Entirely urban,EDR 04,clay,62324
B,Town/rural mix,EDR 02,clearwater,8803
A,Entirely rural,EDR 03,cook,5194
B,Town/rural mix,EDR 08,cottonwood,11549
B,Town/rural mix,EDR 05,crow wing,63428
D,Entirely urban,EDR 11,dakota,414686
D,Entirely urban,EDR 10,dodge,20364
B,Town/rural mix,EDR 04,douglas,37075
B,Town/rural mix,EDR 09,faribault,14050
C,Urban/town/rural mix,EDR 10,fillmore,20834
B,Town/rural mix,EDR 10,freeborn,30613
C,Urban/town/rural mix,EDR 10,goodhue,46435
A,Entirely rural,EDR 04,grant,5903
D,Entirely urban,EDR 11,hennepin,1223186
C,Urban/town/rural mix,EDR 10,houston,18773
B,Town/rural mix,EDR 02,hubbard,20655
C,Urban/town/rural mix,EDR 07E,isanti,38429
B,Town/rural mix,EDR 03,itasca,45435
B,Town/rural mix,EDR 08,jackson,10079
C,Urban/town/rural mix,EDR 07E,kanabec,15837
B,Town/rural mix,EDR 06E,kandiyohi,42542
A,Entirely rural,EDR 01,kittson,4424
B,Town/rural mix,EDR 03,koochiching,12841
A,Entirely rural,EDR 06W,lac qui parle,6856
B,Town/rural mix,EDR 03,lake,10631
A,Entirely rural,EDR 02,lake of the woods,3923
C,Urban/town/rural mix,EDR 09,le sueur,27663
A,Entirely rural,EDR 08,lincoln,5771
B,Town/rural mix,EDR 08,lyon,25673
A,Entirely rural,EDR 02,mahnomen,5457
C,Urban/town/rural mix,EDR 01,marshall,9423
B,Town/rural mix,EDR 09,martin,20022
C,Urban/town/rural mix,EDR 06E,mcleod,35932
B,Town/rural mix,EDR 06E,meeker,23102
C,Urban/town/rural mix,EDR 07E,mille lacs,25788
B,Town/rural mix,EDR 05,morrison,32775
C,Urban/town/rural mix,EDR 10,mower,39116
A,Entirely rural,EDR 08,murray,8413
C,Urban/town/rural mix,EDR 09,nicollet,33347
B,Town/rural mix,EDR 08,nobles,21770
A,Entirely rural,EDR 01,norman,6678
D,Entirely urban,EDR 10,olmsted,151424
B,Town/rural mix,EDR 04,otter tail,57716
B,Town/rural mix,EDR 01,pennington,14219
C,Urban/town/rural mix,EDR 07E,pine,29069
B,Town/rural mix,EDR 08,pipestone,9271
C,Urban/town/rural mix,EDR 01,polk,31533
B,Town/rural mix,EDR 04,pope,11041
D,Entirely urban,EDR 11,ramsey,538133
A,Entirely rural,EDR 01,red lake,4055
B,Town/rural mix,EDR 08,redwood,15471
A,Entirely rural,EDR 06E,renville,14892
C,Urban/town/rural mix,EDR 10,rice,65398
C,Urban/town/rural mix,EDR 08,rock,9600
B,Town/rural mix,EDR 01,roseau,15770
D,Entirely urban,EDR 11,scott,141660
D,Entirely urban,EDR 07W,sherburne,91705
C,Urban/town/rural mix,EDR 09,sibley,14875
C,Urban/town/rural mix,EDR 03,st louis,200431
C,Urban/town/rural mix,EDR 07W,stearns,154708
B,Town/rural mix,EDR 10,steele,36755
B,Town/rural mix,EDR 04,stevens,9796
B,Town/rural mix,EDR 06W,swift,9340
B,Town/rural mix,EDR 05,todd,24257
A,Entirely rural,EDR 04,traverse,3401
C,Urban/town/rural mix,EDR 10,wabasha,21251
B,Town/rural mix,EDR 05,wadena,13875
C,Urban/town/rural mix,EDR 09,waseca,18989
D,Entirely urban,EDR 11,washington,251599
B,Town/rural mix,EDR 09,watonwan,10952
B,Town/rural mix,EDR 04,wilkin,6396
C,Urban/town/rural mix,EDR 10,winona,50885
C,Urban/town/rural mix,EDR 07W,wright,131311
B,Town/rural mix,EDR 06W,yellow medicine,9875
